playerID,yearID,teamID,round,position,f_G,f_GS,f_InnOuts,f_PO,f_A,f_E,f_DP,f_TP,f_PB
affelje01,2010,SFN,NLCS,P,3,0,8,0,0,0,0,0,NULL
affelje01,2010,SFN,WS,P,2,0,4,0,0,0,0,0,NULL
affelje01,2012,SFN,NLCS,P,5,0,14,0,1,0,0,0,NULL
affelje01,2012,SFN,NLDS2,P,3,0,11,0,1,0,0,0,NULL
affelje01,2012,SFN,WS,P,2,0,6,0,0,0,0,0,NULL
affelje01,2014,SFN,NLCS,P,4,0,14,1,2,0,0,0,NULL
affelje01,2014,SFN,NLDS1,P,3,0,5,0,1,0,0,0,NULL
affelje01,2014,SFN,WS,P,4,0,16,0,0,0,0,0,NULL
agbaybe01,1999,NYN,NLCS,LF,2,0,25,3,0,0,0,0,NULL
agbaybe01,1999,NYN,NLCS,RF,3,1,36,1,0,0,0,0,NULL
agbaybe01,1999,NYN,NLDS2,RF,4,3,57,5,0,0,0,0,NULL
agbaybe01,2000,NYN,NLCS,LF,5,5,129,11,0,1,0,0,NULL
agbaybe01,2000,NYN,NLDS2,LF,4,4,102,10,0,0,0,0,NULL
agbaybe01,2000,NYN,WS,LF,5,5,123,9,0,0,0,0,NULL
ageeto01,1969,NYN,NLCS,CF,3,3,81,9,0,0,0,0,NULL
ageeto01,1969,NYN,WS,CF,5,5,135,19,0,0,0,0,NULL
agnewsa01,1918,BOS,WS,C,4,4,96,12,6,0,0,0,0
agostju01,1983,CHA,ALCS,P,1,0,1,0,0,0,0,0,NULL
aguilje01,2018,MIL,NLCS,1B,7,7,176,46,1,0,5,0,NULL
aguilje01,2018,MIL,NLDS1,1B,3,3,68,20,3,0,0,0,NULL
aguilje01,2020,MIA,NLDS2,1B,1,1,27,5,0,0,0,0,NULL
aguilri01,1986,NYN,NLCS,P,2,0,15,1,1,0,0,0,NULL
aguilri01,1986,NYN,WS,P,2,0,9,0,0,0,0,0,NULL
aguilri01,1988,NYN,NLCS,P,3,0,21,0,1,0,0,0,NULL
aguilri01,1991,MIN,ALCS,P,3,0,10,0,0,0,0,0,NULL
aguilri01,1991,MIN,WS,P,4,0,15,0,0,0,0,0,NULL
aguilri01,1995,BOS,ALDS1,P,1,0,2,0,0,0,0,0,NULL
aikenwi01,1980,KCA,ALCS,1B,3,3,78,22,1,0,2,0,NULL
aikenwi01,1980,KCA,WS,1B,6,6,153,55,2,2,6,0,NULL
aikenwi01,1981,KCA,AWDIV,1B,3,3,75,28,1,0,1,0,NULL
akiyash01,2020,CIN,NLWC4,CF,1,0,3,0,0,0,0,0,NULL
akiyash01,2020,CIN,NLWC4,LF,1,1,21,3,0,0,0,0,NULL
alberha01,2015,TEX,ALDS2,3B,3,2,90,4,10,1,2,0,NULL
alberma01,2017,WAS,NLDS2,P,2,0,7,0,0,0,0,0,NULL
albieoz01,2018,ATL,NLDS2,2B,4,4,102,7,12,0,3,0,NULL
albieoz01,2019,ATL,NLDS2,2B,5,5,137,4,14,2,2,0,NULL
albieoz01,2020,ATL,NLCS,2B,7,7,183,9,16,1,4,0,NULL
albieoz01,2020,ATL,NLDS2,2B,3,3,81,5,6,0,0,0,NULL
albieoz01,2020,ATL,NLWC4,2B,2,2,66,4,6,0,0,0,NULL
albieoz01,2021,ATL,NLCS,2B,6,6,156,10,13,0,4,0,NULL
albieoz01,2021,ATL,NLDS1,2B,4,4,105,5,6,0,2,0,NULL
albieoz01,2021,ATL,WS,2B,6,6,159,9,18,1,2,0,NULL
albieoz01,2023,ATL,NLDS1,2B,4,4,102,8,6,0,3,0,NULL
albural01,2011,DET,ALCS,P,2,0,5,0,0,0,0,0,NULL
albural01,2011,DET,ALDS1,P,2,0,1,0,0,0,0,0,NULL
albural01,2012,DET,ALDS2,P,2,0,4,0,1,0,0,0,NULL
albural01,2012,DET,WS,P,1,0,6,0,0,0,0,0,NULL
albural01,2013,DET,ALCS,P,6,0,12,0,0,0,0,0,NULL
albural01,2013,DET,ALDS2,P,1,0,2,0,0,0,0,0,NULL
alcansa01,2020,MIA,NLDS2,P,1,1,18,0,0,0,0,0,NULL
alcansa01,2020,MIA,NLWC3,P,1,1,20,1,0,0,0,0,NULL
aldremi01,1987,SFN,NLCS,RF,3,2,54,5,0,0,0,0,NULL
aldremi01,1996,NYA,WS,RF,1,0,3,0,0,0,0,0,NULL
aldrivi01,1925,PIT,WS,P,3,3,55,0,4,0,0,0,NULL
aldrivi01,1927,PIT,WS,P,1,1,22,0,2,0,0,0,NULL
alexado01,1973,BAL,ALCS,P,1,1,11,0,2,0,1,0,NULL
alexado01,1976,NYA,WS,P,1,1,18,0,1,0,1,0,NULL
alexado01,1985,TOR,ALCS,P,2,2,31,1,0,0,0,0,NULL
alexado01,1987,DET,ALCS,P,2,2,27,1,1,0,0,0,NULL
alexama01,1979,PIT,WS,LF,1,0,3,0,0,0,0,0,NULL
alexama02,1998,CHN,NLDS1,SS,1,1,28,2,2,0,0,0,NULL
alexape01,1915,PHI,WS,P,2,2,53,2,5,0,0,0,NULL
alexape01,1926,SLN,WS,P,3,2,61,0,6,1,1,0,NULL
alexape01,1928,SLN,WS,P,2,1,15,0,4,0,0,0,NULL
alexasc01,2018,LAN,NLDS2,P,1,0,3,0,0,0,0,0,NULL
alexasc01,2018,LAN,WS,P,3,0,4,0,1,1,0,0,NULL
alfarjo01,2020,MIA,NLDS2,C,2,0,18,7,0,0,0,0,0
alfonan01,1997,FLO,WS,P,3,0,19,1,1,0,0,0,NULL
alfonan01,2003,CHN,NLCS,P,3,0,7,0,0,0,0,0,NULL
alfonan01,2003,CHN,NLDS2,P,1,0,3,0,0,0,0,0,NULL
alfonan01,2004,ATL,NLDS2,P,4,0,11,0,0,0,0,0,NULL
alfonan01,2007,PHI,NLDS2,P,1,0,3,0,0,0,0,0,NULL
alfoned01,1999,NYN,NLCS,2B,6,6,178,15,17,1,6,0,NULL
alfoned01,1999,NYN,NLDS2,2B,4,4,108,5,11,0,5,0,NULL
alfoned01,2000,NYN,NLCS,2B,5,5,135,3,10,0,0,0,NULL
alfoned01,2000,NYN,NLDS2,2B,4,4,120,6,7,0,0,0,NULL
alfoned01,2000,NYN,WS,2B,5,5,140,8,19,0,2,0,NULL
alfoned01,2003,SFN,NLDS1,3B,4,4,110,4,8,0,1,0,NULL
alicelu01,1995,BOS,ALDS1,2B,3,3,89,6,11,1,0,0,NULL
alicelu01,1996,SLN,NLCS,2B,4,2,60,5,7,0,1,0,NULL
alicelu01,1996,SLN,NLDS2,2B,3,3,78,2,5,0,0,0,NULL
allenco01,2013,CLE,ALWC,P,1,0,1,0,0,0,0,0,NULL
allenco01,2016,CLE,ALCS,P,4,0,14,0,1,0,0,0,NULL
allenco01,2016,CLE,ALDS2,P,2,0,9,0,0,0,0,0,NULL
allenco01,2016,CLE,WS,P,4,0,18,0,0,0,0,0,NULL
allenco01,2017,CLE,ALDS1,P,4,0,16,0,1,0,0,0,NULL
allenco01,2018,CLE,ALDS2,P,2,0,3,0,0,0,0,0,NULL
allendi01,1976,PHI,NLCS,1B,3,3,75,28,0,1,1,0,NULL
allengr01,2017,CLE,ALDS1,CF,1,0,3,0,0,0,0,0,NULL
allengr01,2020,SDN,NLDS1,LF,1,0,3,0,0,0,0,0,NULL
allenjo02,1932,NYA,WS,P,1,1,2,0,0,0,0,0,NULL
allenjo02,1941,BRO,WS,P,3,0,11,0,0,0,0,0,NULL
alleyge01,1970,PIT,NLCS,SS,2,2,57,6,7,0,3,0,NULL
alleyge01,1971,PIT,NLCS,SS,1,0,9,1,1,0,1,0,NULL
alleyge01,1971,PIT,WS,SS,2,1,24,1,4,0,0,0,NULL
alleyge01,1972,PIT,NLCS,SS,5,5,131,9,4,2,0,0,NULL
allisbo01,1965,MIN,WS,LF,5,5,129,11,0,0,0,0,NULL
allisbo01,1969,MIN,ALCS,LF,2,2,56,6,0,0,0,0,NULL
almonye01,2022,LAN,NLDS2,P,3,0,7,0,0,0,0,0,NULL
almoral01,2016,CHN,NLCS,LF,2,0,9,0,0,0,0,0,NULL
almoral01,2016,CHN,NLCS,RF,1,1,24,2,0,0,0,0,NULL
almoral01,2016,CHN,NLDS1,RF,1,0,15,1,1,0,1,0,NULL
almoral01,2016,CHN,WS,RF,1,0,6,0,0,0,0,0,NULL
almoral01,2017,CHN,NLCS,CF,4,4,96,6,0,0,0,0,NULL
almoral01,2017,CHN,NLDS2,CF,4,2,45,5,0,0,0,0,NULL
almoral01,2018,CHN,NLWC,CF,1,1,39,5,0,0,0,0,NULL
alomaro01,1991,TOR,ALCS,2B,5,5,135,14,9,0,2,0,NULL
alomaro01,1992,TOR,ALCS,2B,6,6,165,15,15,0,4,0,NULL
alomaro01,1992,TOR,WS,2B,6,6,165,5,12,0,0,0,NULL
alomaro01,1993,TOR,ALCS,2B,6,6,162,13,20,0,5,0,NULL
alomaro01,1993,TOR,WS,2B,6,6,159,9,21,2,2,0,NULL
alomaro01,1996,BAL,ALCS,2B,5,5,138,14,26,2,7,0,NULL
alomaro01,1996,BAL,ALDS1,2B,4,4,114,10,6,0,2,0,NULL
alomaro01,1997,BAL,ALCS,2B,6,6,174,10,17,2,2,0,NULL
alomaro01,1997,BAL,ALDS2,2B,4,2,72,3,6,0,0,0,NULL
alomaro01,1999,CLE,ALDS1,2B,5,5,120,13,14,1,4,0,NULL
alomaro01,2001,CLE,ALDS1,2B,5,5,129,9,9,0,2,0,NULL
alomasa02,1995,CLE,ALCS,C,5,4,111,30,3,1,0,0,0
alomasa02,1995,CLE,ALDS1,C,3,3,81,22,1,0,0,0,0
